,1. open,2. high,3. low,4. close,5. volume
2024-02-02 18:31:00,411.5400,411.6500,411.5400,411.5500,147
2024-02-02 18:30:00,411.5400,411.6400,411.3800,411.5400,13
2024-02-02 18:29:00,411.5400,411.5500,411.3800,411.5300,5
2024-02-02 18:28:00,411.6500,411.6800,411.5300,411.5300,42
2024-02-02 18:27:00,411.5300,411.6800,411.5300,411.6800,31
2024-02-02 18:26:00,411.3800,411.6800,411.3800,411.3800,11
2024-02-02 18:25:00,411.5400,411.5400,411.4280,411.5300,41
2024-02-02 18:24:00,411.5800,411.6500,411.5300,411.5300,52
2024-02-02 18:23:00,411.5500,411.5600,411.3900,411.5600,186
2024-02-02 18:22:00,411.5500,411.5500,411.5150,411.5150,2
2024-02-02 18:21:00,411.4650,411.5600,411.4600,411.5150,324
2024-02-02 18:20:00,411.4650,411.4650,411.4000,411.4650,46
